Rank,Name,CCU_Current_Players,Positive_Rating_Pct,Price_USD,Primary_Tag,Publisher
74,7 Days to Die,17045,88.61,44.99,中型爆款,The Fun Pimps Entertainment LLC
19,Path of Exile 2,16727,70.12,29.99,中型爆款,Grinding Gear Games
42,The Witcher 3: Wild Hunt,15893,96.13,39.99,经典神作,CD PROJEKT RED
8,Black Myth: Wukong,15004,96.66,59.99,AAA大作,Game Science
87,Mount & Blade II: Bannerlord,14477,87.88,49.99,AAA大作,TaleWorlds Entertainment
47,Valheim,14439,94.32,19.99,独立精品,Coffee Stain Publishing
22,Brawlhalla,14169,81.46,0.0,免费竞技,Ubisoft
76,eFootball,13404,47.73,0.0,免费竞技,KONAMI
97,Satisfactory,12596,97.16,39.99,独立精品,Coffee Stain Publishing
14,Monster Hunter Wilds,12494,58.27,38.49,AAA大作,"CAPCOM Co., Ltd."
88,Sid Meier's Civilization V,12206,95.82,29.99,经典神作,"2K, Aspyr (Mac), Aspyr (Linux)"
53,Monster Hunter: World,11923,88.01,7.79,AAA大作,"CAPCOM Co., Ltd."
91,Fallout 4,11179,83.12,19.99,AAA大作,Bethesda Softworks
11,Unturned,10408,91.2,0.0,中型爆款,Smartly Dressed Games
48,Phasmophobia,9978,95.82,19.99,独立精品,Kinetic Games
86,Cities: Skylines,8842,92.96,29.99,中型爆款,Paradox Interactive
45,Borderlands 2,8551,92.44,19.99,独立精品,"2K, Aspyr (Mac), Aspyr (Linux)"
27,World of Warships,8518,77.03,0.0,免费竞技,Wargaming Group Limited
99,Risk of Rain 2,7902,93.48,24.99,独立精品,Gearbox Publishing
64,Counter-Strike,7323,97.43,9.99,经典神作,Valve
83,Arma 3,7181,90.42,29.99,中型爆款,Bohemia Interactive
80,Sekiro: Shadows Die Twice - GOTY Edition,6767,95.29,59.99,AAA大作,"Activision (Excluding Japan and Asia), FromSoftware, Inc. (Japan), 方块游戏 (Asia)"
94,Battlefield V,6327,70.86,49.99,AAA大作,Electronic Arts
79,Hunt: Showdown 1896,6300,72.96,29.99,中型爆款,Crytek
57,Lethal Company,6199,97.18,9.99,独立精品,Zeekerss
65,Counter-Strike: Source,6187,96.26,9.99,经典神作,Valve
36,Last Epoch,5831,79.57,27.99,独立精品,Eleventh Hour Games
40,Hogwarts Legacy,5716,90.22,59.99,AAA大作,Warner Bros. Games
63,World of Tanks Blitz,5707,78.57,0.0,免费竞技,Wargaming Group Limited
7,New World: Aeternum,5583,68.6,59.99,中型爆款,Amazon Games
101,三国杀,5000,85.0,0.0,独立精品,Shengqu Games
72,Dying Light,4953,95.2,4.99,独立精品,Techland
61,Raft,4701,93.31,19.99,独立精品,Axolot Games
32,Path of Exile,4694,89.25,0.0,中型爆款,Grinding Gear Games
84,Sons Of The Forest,4450,87.75,29.99,中型爆款,Newnight 
43,Among Us,3832,91.85,4.99,独立精品,Innersloth
93,"Warhammer 40,000: Rogue Trader",3582,85.57,49.99,AAA大作,Owlcat Games
30,The Forest,2892,95.54,19.99,独立精品,Endnight Games Ltd
59,Battlefield 2042,2774,46.74,59.99,AAA大作,Electronic Arts
85,Grim Dawn,2376,93.74,24.99,独立精品,Crate Entertainment
60,Halo Infinite,2275,69.66,0.0,免费竞技,Xbox Game Studios
62,SMITE,1853,78.77,0.0,免费竞技,Hi-Rez Studios
82,Half-Life 2,1555,97.6,9.99,经典神作,Valve
100,EA SPORTS FIFA 23,1280,56.92,0.0,AAA大作,Electronic Arts
49,Paladins,1028,84.98,0.0,免费竞技,Hi-Rez Studios
78,Z1 Battle Royale,1010,55.75,0.0,免费竞技,Daybreak Game Company
73,Human Fall Flat,950,94.67,19.99,独立精品,Curve Games
89,Trove,758,80.22,0.0,中型爆款,gamigo US Inc.
44,Fall Guys: Ultimate Knockout,664,81.3,0.0,独立精品,Ravenscourt
68,Portal,638,98.47,9.99,经典神作,Valve
52,Half-Life,634,96.54,9.99,经典神作,Valve
34,Warface: Clutch,270,66.37,0.0,免费竞技,MY.GAMES
31,War Robots: Frontiers,256,64.15,0.0,免费竞技,MY.GAMES
98,NBA 2K20,221,49.87,0.0,免费竞技,2K
70,Black Squad,212,75.93,0.0,免费竞技,VALOFE
51,Half-Life 2: Deathmatch,159,90.67,19.99,中型爆款,Valve
92,Life is Strange 2,153,86.3,31.96,独立精品,"Square Enix, Feral Interactive (Mac), Feral Interactive (Linux)"
75,Counter-Strike: Condition Zero,83,89.75,9.99,经典神作,Valve
81,CyberCorp,3,82.61,9.74,独立精品,Megame LLC
37,Half-Life 2: Lost Coast,2,89.25,19.99,中型爆款,Valve
77,Street Warriors Online,1,57.59,1.99,独立精品,Crazy Rocks Studios
35,Grand Theft Auto IV: Complete Edition,0,82.48,0.0,经典神作,Rockstar Games
67,Ring of Elysium,0,74.47,0.0,免费竞技,TCH Scarlet Limited
54,Heroes & Generals,0,67.59,0.0,免费竞技,TLM Partners
